,E_b,a,E_grid
0,0.0,-1.9999999999999991,4.997256946860639
1,0.0,0.0,4.163019701023979
2,0.0,0.0,3.442994936144017
3,0.0,0.0,0.0
4,0.0,0.0,1.530223594971202
5,0.0,0.0,1.650482041462027
6,0.0,0.0,3.7495170370350803
7,0.0,0.0,0.7035439583523053
8,0.0,0.0,1.1986738850481435
9,0.0,0.0,1.1446477392809946
10,0.0,0.0,3.4200681362746357
11,0.0,0.0,6.264495032999169
12,0.0,0.0,1.73230875941506
13,0.0,0.0,4.598522550305898
14,0.0,0.0,1.5619875923537208
15,0.0,0.0,1.2306451707982182
16,0.0,0.0,2.214280104760939
17,0.0,0.0,2.8970453688340627
18,0.0,0.0,7.01973486851632
19,0.0,0.0,2.0078647397770486
20,0.0,0.0,1.4799069459596543
21,0.0,0.0,0.828700201154918
22,0.0,0.0,3.9822967101491806
23,0.0,0.0,1.5384325344538246
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,1.5004899323256584
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.1899385554441217
30,0.0,0.0,3.0701125328107417
31,0.0,0.0,3.576377518252605
32,0.3541208246206871,0.39346758291187456,0.0
33,0.0,-0.3187087421586184,4.237702608464643
34,1.6538934528000002,1.8376593920000002,0.0
35,3.2433313716,1.766042132,0.0
36,4.586421464100001,1.4923223250000002,0.0
37,5.493806439300001,1.008205528,0.0
38,3.2715842170777787,-2.0,1.8175286179149368
39,1.0493619948555564,-2.0,3.0111715343981977
40,1.0493619948555564,0.0,0.22342910832950524
41,1.0493619948555564,0.0,4.208350904540344
42,0.0,-0.9444257953700006,4.158032685736509
43,0.0,0.0,0.8637179260930821
44,0.0,0.0,4.296700716631602
45,0.0,0.0,0.15781124062351415
46,0.0,0.0,0.06223540447540121
47,0.0,0.0,1.879427630722033
48,0.0,0.0,0.0
49,0.0,0.0,2.2344762703078875
50,0.0,0.0,3.801366883772989
51,0.0,0.0,3.430595681908299
52,0.0,0.0,3.916374999869985
53,0.0,0.0,3.283781310637783
54,0.0,0.0,3.790086263985079
55,0.0,0.0,0.7307485831992695
56,0.0,0.0,4.241536526114364
57,0.0,0.0,3.8944461421157737
58,0.0,0.0,0.8676455839855638
59,0.8299501668,0.9221668519999999,0.0
60,0.0,-0.7469551501199999,8.02662084637251
61,0.0,0.0,2.8081848358849735
62,0.0,0.0,2.9090238096835
63,0.0,0.0,12.059290062811868
64,0.0,0.0,1.3955449793765733
65,0.0,0.0,0.6662337307300445
66,0.0,0.0,1.2258914055249632
67,0.0,0.0,0.0
68,0.0,0.0,4.455893222560164
69,0.0,0.0,6.217956920800988
70,0.0,0.0,0.0
71,0.0,0.0,3.4686768916816284
72,0.0,0.0,1.525986296201425
73,0.0,0.0,5.329254606587486
74,0.0,0.0,2.617576695201061
75,0.0,0.0,4.027432799726125
76,0.0,0.0,3.1813265611914368
77,0.0,0.0,2.0281734134516682
78,0.0,0.0,0.0
79,0.0,0.0,4.226011063489615
80,0.0,0.0,1.0715638678959665
81,0.0,0.0,2.955336051811803
82,0.0,0.0,5.5820834875081875
83,0.0,0.0,0.9141558795954117
84,0.0,0.0,0.6747234962070557
85,0.0,0.0,2.5357888156032837
86,0.0,0.0,1.6182352268575397
87,0.0,0.0,0.582685164294102
88,0.0,0.0,0.0
89,0.0,0.0,3.9613189948547807
90,0.0,0.0,1.852842523028249
91,0.0,0.0,1.2421652644230519
92,0.0,0.0,0.31500763954556676
93,0.0,0.0,2.359590468226401
94,0.0,0.0,1.27558315901459
95,0.0,0.0,1.3910913322387835
96,0.0,0.0,2.8331431996510137
97,0.0,0.0,0.10912566268023727
98,0.0,0.0,0.9645878509608986
99,0.0,0.0,6.1412986841138375
100,0.0,0.0,3.3485714452210407
101,0.0,0.0,0.2929267361564314
102,0.0,0.0,1.7155181236288566
103,0.0,0.0,2.6531025085891944
104,0.0,0.0,5.912249800906312
105,0.0,0.0,4.525958026361981
106,0.0,0.0,1.681190404289791
107,0.0,0.0,1.5651855126133398
108,0.0,0.0,4.929741081967818
109,0.0,0.0,4.561236835048213
110,0.0,0.0,0.23369973340370048
111,0.0,0.0,1.6518566671285746
112,0.0,0.0,3.017603969739704
113,0.0,0.0,8.8343153164789
114,0.0,0.0,6.0900786453722695
115,0.0,0.0,9.022828950537232
116,0.0,0.0,10.808037900969417
117,0.0,0.0,5.092498652216623
118,0.0,0.0,0.9015202986564301
119,0.0,0.0,6.404984913244476
120,0.0,0.0,0.9885746413176961
121,0.0,0.0,3.4228701488801505
122,0.0,0.0,1.0333304128050556
