,E_b,a,E_grid
0,0.0,-1.9999999999999998,1.2400000000000004
1,0.0,0.0,3.08
2,0.0,0.0,3.04
3,0.0,0.0,3.08
4,0.0,0.0,1.9
5,0.0,0.0,2.18
6,0.0,0.0,3.78
7,0.0,0.0,2.0812908119999998
8,0.0,0.0,1.7609004869999998
9,0.0,0.0,2.688069997
10,0.0,0.0,6.374170952
11,0.0,0.0,5.422159375
12,0.0,0.0,0.6411899999999999
13,0.0,0.0,1.832922907
14,0.0,0.0,1.9359846320000003
15,0.0,0.0,2.48
16,0.0,0.0,3.86
17,0.0,0.0,6.6
18,0.0,0.0,5.82
19,0.0,0.0,5.04
20,0.0,0.0,4.7
21,0.0,0.0,2.08
22,0.0,0.0,1.84
23,0.0,0.0,1.92
24,0.0,0.0,1.0
25,0.0,0.0,0.86
26,0.0,0.0,1.16
27,0.0,0.0,1.04
28,0.0,0.0,1.2
29,0.0,0.0,1.46
30,0.0,0.0,2.4
31,0.0,0.0,0.761383968
32,0.0,0.0,3.6898268749999996
33,0.0,0.0,7.742109932999999
34,0.0,0.0,0.08339198299999995
35,0.23993647920000002,0.266596088,0.0
36,0.4246758009000001,0.20526591300000008,0.0
37,0.4246758009000001,0.0,1.450442037
38,0.0,-0.38220822081000005,2.20368797119
39,0.0,0.0,6.1
40,0.0,0.0,4.3
41,0.0,0.0,3.74
42,0.0,0.0,6.64
43,0.0,0.0,5.2
44,0.0,0.0,6.36
45,0.0,0.0,2.2
46,0.0,0.0,2.64
47,0.0,0.0,2.6
48,0.0,0.0,2.6
49,0.0,0.0,3.5
50,0.0,0.0,2.5
51,0.0,0.0,2.44
52,0.0,0.0,2.42
53,0.0,0.0,1.78
54,0.0,0.0,1.56
55,0.0,0.0,3.8810158869999998
56,0.0,0.0,3.724068407
57,0.0,0.0,8.796567407000001
58,0.0,0.0,2.795785528
59,0.0,0.0,3.291007032
60,0.0,0.0,7.419558471999999
61,0.0,0.0,0.7674812129999999
62,0.0,0.0,3.791957463
63,0.0,0.0,8.98
64,0.0,0.0,3.22
65,0.0,0.0,0.84
66,0.0,0.0,1.38
67,0.0,0.0,2.4
68,0.0,0.0,3.94
69,0.0,0.0,2.62
70,0.0,0.0,1.98
71,0.0,0.0,1.8
72,0.0,0.0,1.9
73,0.0,0.0,1.8
74,0.0,0.0,1.6
75,0.0,0.0,2.54
76,0.0,0.0,1.7
77,0.0,0.0,1.32
78,0.0,0.0,1.36
79,0.0,0.0,1.038315933
80,0.0,0.0,3.084602352
81,0.0,0.0,1.9270928570000003
82,0.0,0.0,4.282952808
83,0.0,0.0,1.771280512
84,0.3713802075000001,0.4126446750000001,0.0
85,0.3713802075000001,0.0,0.22382080800000004
86,0.3713802075000001,0.0,1.5000348
87,0.0,-0.33424218675000006,1.82575781325
88,0.0,0.0,1.1
89,0.0,0.0,5.68
90,0.0,0.0,2.8
91,0.0,0.0,2.04
92,0.0,0.0,2.0
93,0.0,0.0,1.36
94,0.0,0.0,2.16
95,0.0,0.0,1.32
96,0.0,0.0,1.16
97,0.0,0.0,1.46
98,0.0,0.0,1.16
99,0.0,0.0,1.42
100,0.0,0.0,1.24
101,0.0,0.0,2.56
102,0.0,0.0,1.56
103,0.0,0.0,0.972740852
104,0.0,0.0,2.528505428
105,0.0,0.0,3.2006547879999996
106,0.0,0.0,1.6006459279999998
107,0.0,0.0,1.7285908000000003
108,0.0,0.0,2.337825625
109,0.0,0.0,3.2408992000000003
110,0.0,0.0,0.6943194250000001
111,0.0,0.0,1.48
112,0.0,0.0,3.26
113,0.0,0.0,6.78
114,0.0,0.0,6.82
115,0.0,0.0,7.38
116,0.0,0.0,8.44
117,0.0,0.0,3.46
118,0.0,0.0,1.92
119,0.0,0.0,3.06
120,0.0,0.0,1.68
121,0.0,0.0,1.92
122,0.0,0.0,1.94
123,0.0,0.0,2.06
124,0.0,0.0,2.04
125,0.0,0.0,2.24
126,0.0,0.0,3.34
127,0.0,0.0,2.0317411119999997
128,0.0,0.0,3.6053641330000006
129,0.0,0.0,7.367435116999999
130,0.0,0.0,6.9326216480000005
131,0.0,0.0,3.986222853
132,0.0,0.0,2.5340172
133,0.0,0.0,1.735126272
134,0.0,0.0,3.336870052
135,0.0,0.0,2.86
136,0.0,0.0,6.5
137,0.0,0.0,6.0
138,0.0,0.0,2.64
139,0.0,0.0,4.0
140,0.0,0.0,7.98
141,0.0,0.0,1.78
142,0.0,0.0,1.92
143,0.0,0.0,1.7
144,0.0,0.0,1.36
145,0.0,0.0,1.44
146,0.0,0.0,1.6
147,0.0,0.0,1.56
148,0.0,0.0,1.62
149,0.0,0.0,2.64
150,0.0,0.0,1.24
151,0.0,0.0,4.718410303
152,0.0,0.0,2.5226963000000002
153,0.0,0.0,4.110880325
154,0.0,0.0,1.7808457229999999
155,0.10706663970000015,0.11896293300000016,0.0
156,0.10706663970000015,0.0,4.772587303
157,0.0,-0.09635997573000012,6.23296581127
158,0.0,0.0,4.5896748
159,0.0,0.0,2.08
160,0.0,0.0,2.18
161,0.0,0.0,2.34
162,0.0,0.0,1.92
163,0.0,0.0,3.64
164,0.0,0.0,4.94
165,0.0,0.0,2.34
166,0.0,0.0,3.22
167,0.0,0.0,2.88
168,0.0,0.0,2.56
169,0.0,0.0,2.62
170,0.0,0.0,2.54
171,0.0,0.0,3.52
172,0.0,0.0,2.48
173,0.0,0.0,2.52
174,0.0,0.0,2.34
175,0.0,0.0,2.868986812
176,0.0,0.0,3.1730490079999996
177,0.0,0.0,2.7122564629999997
178,0.0,0.0,3.584899077
179,0.0,0.0,3.215636443
180,0.0,0.0,4.034456508000001
181,0.0,0.0,2.9015542770000002
182,0.0,0.0,3.137443552
183,0.0,0.0,4.94
184,0.0,0.0,3.22
185,0.0,0.0,3.68
186,0.0,0.0,3.4
187,0.0,0.0,2.76
188,0.0,0.0,5.98
189,0.0,0.0,2.96
190,0.0,0.0,4.36
191,0.0,0.0,3.58
192,0.0,0.0,3.46
193,0.0,0.0,3.68
194,0.0,0.0,3.9
195,0.0,0.0,3.84
196,0.0,0.0,3.94
197,0.0,0.0,3.98
198,0.0,0.0,4.06
199,0.0,0.0,6.351162457
200,0.0,0.0,3.3495833919999995
201,0.0,0.0,7.840670096999999
202,0.0,0.0,3.6290717120000004
203,0.0,0.0,1.8687941430000001
204,0.0,0.0,2.2799903230000003
205,0.0,0.0,4.6795825230000005
206,0.0,0.0,2.8040757480000003
207,0.0,0.0,4.874273283
208,0.0,0.0,4.08
209,0.0,0.0,4.26
210,0.0,0.0,5.14
211,0.0,0.0,9.68
212,0.0,0.0,3.16
213,0.0,0.0,4.04
214,0.0,0.0,3.48
215,0.0,0.0,3.74
216,0.0,0.0,3.72
217,0.0,0.0,3.7
218,0.0,0.0,3.68
219,0.0,0.0,4.56
220,0.0,0.0,3.52
221,0.0,0.0,3.58
222,0.0,0.0,3.36
